GVA	all_employment
0.4	28923538
0.6	
0.9	
1.7	29109713
1.7	
1.2	
0.8	29483800
0.5	
0.6	
0.5	29390416
0.5	
0	
-0.5	29349875
-0.6	
0.1	
0.2	29366969
0.3	
0	
0.5	29376000
0.4	
0.3	
-0.4	29405113
-0.2	
0.2	
1.4	29365303
1.4	
1	
-0.2	29586796
0	
-0.1	
0.8	29850821
0.7	
1	
0.5	29974375
0.1	
-0.1	
-0.1	29749654
0.1	
0.2	
0.6	29860615
0.6	
0.7	
0.6	30194322
0.7	
0.7	
0.8	30362490
0.8	
0.7	
0.4	30445709
0.4	
0.9	
1.2	30627950
1.2	
1	
1	30918227
0.9	
0.9	
0.7	31018177
0.7	
0.6	
0.3	31074251
0.2	
0.2	
0.4	31034988
0.5	
0.4	
0.3	31416382
0.2	
0.3	
0.3	31614521
0.4	
0.5	
0.5	31498983
0.7	
0.6	
0.9	31672719
0.7	
0.8	
0.4	31890047
0.5	
0.5	
0.7	31919549
0.7	
0.7	
1	31877579
1.1	
1	
0.7	31995756
0.7	
0.9	
0.8	32137770
0.7	
0.6	
0.6	32229576
0.7	
0.7	
0.5	32277459
0.3	
0.1	
-0.1	32321179
-0.1	
0.2	
0.4	32502699
0.5	
0.3	
0.3	32670531
0.3	
0.1	
0	
0.1	
0.5	
0.5	32883950
0.3	
0.2	
0.6	32923009
0.8	
0.7	
0.3	33098223
0.1	
0	
0	32976793
0.1	
-2.5	
-10.9	32553002
-18.9	
-19.9	
-6.9	32385504
8.7	
17.1	
12.3	32304394
5.4	
1.5	
-1.4	32319036
-1.4	
-1.1	
2.6	32368624
5.3	
7	
5.1	32752237
3	
1.6	
1.5	32765580
1.4	
1.2	
0.9	32796303
0.7	
0.9	
0.8	32924122
0.8	
0.5	
0.4	32953324
0.1	
0	
0	33148888
0.1	
0.4	
0.3	33328558
0.2	
0.1	
0.1	33275133
-0.1	
0	
0	33379186
0.2	
-0.1	
-0.3	33412059
-0.4	
-0.3	
0	33334245
0.2	
0.7	
0.8	33416689
0.9	
0.6	
0.4	33804351
0.2	
0.2	
0.2	33895676
0.2	
0.3	
0.3	33979180
0.6	
0.7	
0.7	34170315
0.4	
0.2	
0.1	34216044
0.2	
0.1	
0	
0.1	
